Source,year,month,ANZ - business confidence,ANZ - activity outlook,ANZ-Roy Morgan - consumer confidence,Performance of Manufacturing Index,Performance of Services Index,One News5 - consumer confidence
NZ Treasury Monthly Economic Indicators Jun 2018,2018,5,-27.2,13.6,121,,,
NZ Treasury Monthly Economic Indicators Jun 2018,2018,4,-23.4,17.8,120.5,,,
NZ Treasury Monthly Economic Indicators Jun 2018,2018,3,-20,21.8,128,,,
NZ Treasury Monthly Economic Indicators Jun 2018,2018,2,-19,20.4,127.7,,,
NZ Treasury Monthly Economic Indicators Jun 2018,2018,1,...,...,126.9,,,
NZ Treasury Monthly Economic Indicators Jun 2018,2017,12,-37.8,15.6,121.8,,,
NZ Treasury Monthly Economic Indicators Jun 2018,2017,11,-39.3,6.5,123.7,,,
NZ Treasury Monthly Economic Indicators Nov 2017,2017,10,-10.1,22.2,126.3,57.2,55.6,
NZ Treasury Monthly Economic Indicators Nov 2017,2017,9,0,29.6,129.9,57.6,55.9,
NZ Treasury Monthly Economic Indicators Nov 2017,2017,8,18.3,38.2,126.2,58,57.1,
NZ Treasury Monthly Economic Indicators Nov 2017,2017,7,19.4,40.3,125.4,55.6,55.9,
NZ Treasury Monthly Economic Indicators Nov 2017,2017,6,24.8,42.8,127.8,56,58.1,
NZ Treasury Monthly Economic Indicators Nov 2017,2017,5,14.9,38.3,123.9,58.1,58.4,
NZ Treasury Monthly Economic Indicators Jun 2017,2017,4,11,37.7,121.7,56.9,53.2,
NZ Treasury Monthly Economic Indicators Jun 2017,2017,3,11.3,38.8,125.2,58.1,58.8,
NZ Treasury Monthly Economic Indicators Jun 2017,2017,2,16.6,37.2,127.4,55.7,58.6,
NZ Treasury Monthly Economic Indicators Jun 2017,2017,1,...,...,128.7,53.1,59.4,
NZ Treasury Monthly Economic Indicators Jun 2017,2016,12,21.7,39.6,124.5,54.4,58.4,
NZ Treasury Monthly Economic Indicators Jan 2017,2016,11,20.5,37.6,127.2,54.5,58.1,
NZ Treasury Monthly Economic Indicators Jan 2017,2016,10,24.5,38.4,122.9,55.1,56.7,
NZ Treasury Monthly Economic Indicators Jan 2017,2016,9,27.9,42.4,121,57.5,54.5,
NZ Treasury Monthly Economic Indicators Jan 2017,2016,8,15.5,33.7,117.7,55.1,58.1,
NZ Treasury Monthly Economic Indicators Jan 2017,2016,7,16,31.4,118.2,55.5,54.5,
NZ Treasury Monthly Economic Indicators Jul 2016,2016,6,20.2,35.1,118.9,57.7,56.7,
NZ Treasury Monthly Economic Indicators Jul 2016,2016,5,11.3,30.4,116.2,57.2,56.9,
NZ Treasury Monthly Economic Indicators Jul 2016,2016,4,6.2,32.1,120,56.6,57.8,
NZ Treasury Monthly Economic Indicators Jul 2016,2016,3,3.2,29.4,118,54.8,55.1,
NZ Treasury Monthly Economic Indicators Jul 2016,2016,2,7.1,25.5,119.7,55.8,56.8,
NZ Treasury Monthly Economic Indicators Jul 2016,2016,1,...,...,121.4,57.8,55.3,
NZ Treasury Monthly Economic Indicators Feb 2016,2015,12,23,34.4,118.7,57,58.5,
NZ Treasury Monthly Economic Indicators Feb 2016,2015,11,14.6,32,122.7,55.1,59.5,
NZ Treasury Monthly Economic Indicators Feb 2016,2015,10,10.5,23.7,114.9,53.5,56.4,
NZ Treasury Monthly Economic Indicators Feb 2016,2015,9,-18.9,16.7,110.8,55,59.2,
NZ Treasury Monthly Economic Indicators Feb 2016,2015,8,-29.1,12.2,109.8,55,58.4,
NZ Treasury Monthly Economic Indicators Aug 2015,2015,7,-15.3,19,113.9,53.5,56.5,
NZ Treasury Monthly Economic Indicators Aug 2015,2015,6,-2.3,23.6,119.9,55.1,58.1,
NZ Treasury Monthly Economic Indicators Aug 2015,2015,5,15.7,32.6,123.9,51.9,57.9,
NZ Treasury Monthly Economic Indicators Aug 2015,2015,4,30.2,41.3,128.8,52,56.7,
NZ Treasury Monthly Economic Indicators Aug 2015,2015,3,35.8,42.2,124.6,54.7,57.6,
NZ Treasury Monthly Economic Indicators Aug 2015,2015,2,34.4,40.9,124,56.4,56.1,
NZ Treasury Monthly Economic Indicators Feb 2015,2015,1,...,...,128.9,50.9,57.8,
NZ Treasury Monthly Economic Indicators Feb 2015,2014,12,30.4,37.3,126.5,57.1,56.7,
NZ Treasury Monthly Economic Indicators Feb 2015,2014,11,31.5,41.7,121.8,55.2,54.8,
NZ Treasury Monthly Economic Indicators Feb 2015,2014,10,26.5,37.8,123.4,58.6,56.9,
NZ Treasury Monthly Economic Indicators Feb 2015,2014,9,13.4,37,127.7,58.7,57.7,
NZ Treasury Monthly Economic Indicators Feb 2015,2014,8,24.4,36.6,125.5,57,57.6,
NZ Treasury Monthly Economic Indicators Aug 2014,2014,7,39.7,45.1,132.7,53,58.4,
NZ Treasury Monthly Economic Indicators Aug 2014,2014,6,42.8,45.8,131.9,53.4,55.2,
NZ Treasury Monthly Economic Indicators Aug 2014,2014,5,53.5,51,127.6,52.7,54.3,
NZ Treasury Monthly Economic Indicators Aug 2014,2014,4,64.8,52.5,133.5,54.3,58.5,
NZ Treasury Monthly Economic Indicators Aug 2014,2014,3,67.3,58.2,132,58.5,58.2,
NZ Treasury Monthly Economic Indicators Aug 2014,2014,2,70.8,58.5,133,56.2,53,
